order,k,time
k_selection,0,0.00636100769043
k_selection,21000,119.120159149
k_selection,41999,181.529314995
heap select,0,0.0150299072266
heap select,21000,0.136099100113
heap select,41999,0.0590810775757
fuerza bruta,0,103.900174141
fuerza bruta,21000,170.570759058
fuerza bruta,41999,147.706436872
quick_select,0,0.0389420986176
quick_select,21000,0.0689959526062
quick_select,41999,0.0196559429169
order,k,time
sorted_selection,0,0.0146090984344
sorted_selection,23000,0.0145800113678
sorted_selection,45999,0.0143101215363
k_heapsort,0,0.0366840362549
k_heapsort,23000,0.163689851761
k_heapsort,45999,0.283831119537
k_selection,0,0.0072979927063
k_selection,23000,133.978641987
k_selection,45999,197.548064947
heap select,0,0.0163569450378
heap select,23000,0.152476072311
heap select,45999,0.0634989738464
fuerza bruta,0,131.896443844
fuerza bruta,23000,15.7577669621
fuerza bruta,45999,181.533928156
quick_select,0,0.0437040328979
quick_select,23000,0.0552160739899
quick_select,45999,0.0209717750549
order,k,time
sorted_selection,0,0.0161299705505
sorted_selection,25000,0.0166628360748
sorted_selection,49999,0.0159230232239
k_heapsort,0,0.0290350914001
k_heapsort,25000,0.18198800087
k_heapsort,49999,0.31351518631
k_selection,0,0.00795698165894
k_selection,25000,158.873673916
k_selection,49999,241.698219061
heap select,0,0.0179631710052
heap select,25000,0.164521932602
heap select,49999,0.0692710876465
fuerza bruta,0,162.661936998
fuerza bruta,25000,232.506833076
fuerza bruta,49999,216.737684965
quick_select,0,0.0469040870667
quick_select,25000,0.0624179840088
quick_select,49999,0.0238268375397
order,k,time
sorted_selection,0,0.0175640583038
sorted_selection,27000,0.0183081626892
sorted_selection,53999,0.0172929763794
k_heapsort,0,0.0318338871002
k_heapsort,27000,0.204148054123
k_heapsort,53999,0.348921060562
k_selection,0,0.00869107246399
k_selection,27000,192.740056992
k_selection,53999,292.051851988
heap select,0,0.0192940235138
heap select,27000,0.180156946182
heap select,53999,0.0765221118927
fuerza bruta,0,197.860923052
fuerza bruta,27000,185.041210175
fuerza bruta,53999,255.153144121
quick_select,0,0.058501958847
quick_select,27000,0.0705919265747
quick_select,53999,0.0249328613281
order,k,time
sorted_selection,0,0.0193078517914
sorted_selection,29000,0.0204939842224
sorted_selection,57999,0.018933057785
k_heapsort,0,0.033842086792
k_heapsort,29000,0.222589015961
k_heapsort,57999,0.374604940414
k_selection,0,0.00934886932373
k_selection,29000,226.114958048
k_selection,57999,352.077400923
heap select,0,0.0207190513611
heap select,29000,0.19082403183
heap select,57999,0.0823509693146
fuerza bruta,0,235.369127035
fuerza bruta,29000,321.507791042
fuerza bruta,57999,297.335597992
quick_select,0,0.0549468994141
quick_select,29000,0.0819480419159
quick_select,57999,0.0278129577637
order,k,time
sorted_selection,0,0.022919178009
sorted_selection,31000,0.0208909511566
sorted_selection,61999,0.0211498737335
k_heapsort,0,0.0360260009766
k_heapsort,31000,0.231878995895
k_heapsort,61999,0.415697097778
k_selection,0,0.0100419521332
k_selection,31000,259.509091854
k_selection,61999,410.292036057
heap select,0,0.0217869281769
heap select,31000,0.2039270401
heap select,61999,0.0884048938751
fuerza bruta,0,276.037900925
fuerza bruta,31000,314.208496094
fuerza bruta,61999,346.791714907
quick_select,0,0.0575580596924
quick_select,31000,0.0998601913452
quick_select,61999,0.0286159515381
order,k,time
sorted_selection,0,0.0225269794464
sorted_selection,33000,0.0247390270233
sorted_selection,65999,0.0222990512848
k_heapsort,0,0.0396459102631
k_heapsort,33000,0.258996009827
k_heapsort,65999,0.426651954651
k_selection,0,0.0107831954956
k_selection,33000,298.600157976
k_selection,65999,476.719247103
heap select,0,0.0231630802155
heap select,33000,0.235038995743
heap select,65999,0.0952839851379
fuerza bruta,0,323.160531998
fuerza bruta,33000,340.846415997
fuerza bruta,65999,402.568958044
quick_select,0,0.0621449947357
quick_select,33000,0.0912280082703
quick_select,65999,0.0312948226929
order,k,time
sorted_selection,0,0.0241100788116
sorted_selection,35000,0.0256428718567
sorted_selection,69999,0.0241441726685
k_heapsort,0,0.041570186615
k_heapsort,35000,0.273423910141
k_heapsort,69999,0.473702192307
k_selection,0,0.0117490291595
k_selection,35000,347.294857979
k_selection,69999,575.774603128
heap select,0,0.0271410942078
heap select,35000,0.237253904343
heap select,69999,0.105448961258
fuerza bruta,0,370.637550831
fuerza bruta,35000,340.975765944
fuerza bruta,69999,441.689882994
quick_select,0,0.0653088092804
quick_select,35000,0.0961008071899
quick_select,69999,0.0339779853821
order,k,time
sorted_selection,0,0.0255711078644
sorted_selection,37000,0.0251979827881
sorted_selection,73999,0.0249800682068
k_heapsort,0,0.0435719490051
k_heapsort,37000,0.286509990692
k_heapsort,73999,0.481841087341
k_selection,0,0.0125200748444
k_selection,37000,384.542359829
k_selection,73999,624.854663849
heap select,0,0.0268149375916
heap select,37000,0.247491836548
heap select,73999,0.10564494133
fuerza bruta,0,419.749516964
fuerza bruta,37000,156.994168997
fuerza bruta,73999,499.981295824
quick_select,0,0.0693359375
quick_select,37000,0.119064092636
quick_select,73999,0.0339801311493
order,k,time
sorted_selection,0,0.0280330181122
sorted_selection,39000,0.0306220054626
sorted_selection,77999,0.0267140865326
k_heapsort,0,0.0463120937347
k_heapsort,39000,0.294579029083
k_heapsort,77999,0.521358966827
k_selection,0,0.0128660202026
k_selection,39000,431.947993994
k_selection,77999,708.222691059
heap select,0,0.0277729034424
heap select,39000,0.261307001114
heap select,77999,0.11369395256
fuerza bruta,0,0.297841072083
fuerza bruta,39000,46.7813801765
fuerza bruta,77999,20.1377289295
quick_select,0,0.0742518901825
quick_select,39000,0.104699134827
quick_select,77999,0.0358991622925
order,k,time
sorted_selection,0,0.0291271209717
sorted_selection,41000,0.0288238525391
sorted_selection,81999,0.0285499095917
k_heapsort,0,0.0482640266418
k_heapsort,41000,0.311650037766
k_heapsort,81999,0.540293931961
k_selection,0,0.0128610134125
k_selection,41000,471.07160902
k_selection,81999,781.011790037
heap select,0,0.0293970108032
heap select,41000,0.272321939468
heap select,81999,0.121203899384
fuerza bruta,0,32.9946229458
fuerza bruta,41000,394.088052034
fuerza bruta,81999,53.7845058441
quick_select,0,0.0788168907166
quick_select,41000,0.115353822708
quick_select,81999,0.0391991138458
order,k,time
sorted_selection,0,0.0312781333923
sorted_selection,43000,0.0310611724854
sorted_selection,85999,0.0316400527954
k_heapsort,0,0.0547921657562
k_heapsort,43000,0.334418058395
k_heapsort,85999,0.585335016251
k_selection,0,0.0144560337067
k_selection,43000,543.695754051
k_selection,85999,897.272455931
heap select,0,0.0310530662537
heap select,43000,0.283617973328
heap select,85999,0.125665187836
fuerza bruta,0,69.4270169735
fuerza bruta,43000,142.798335791
fuerza bruta,85999,91.2117099762
quick_select,0,0.0823740959167
quick_select,43000,0.109535932541
quick_select,85999,0.0400640964508
order,k,time
sorted_selection,0,0.0329210758209
sorted_selection,45000,0.0325620174408
sorted_selection,89999,0.0322229862213
k_heapsort,0,0.0541999340057
k_heapsort,45000,0.351161956787
k_heapsort,89999,0.603986978531
k_selection,0,0.0150620937347
k_selection,45000,599.479816914
k_selection,89999,1005.96101189
heap select,0,0.0321719646454
heap select,45000,0.298576831818
heap select,89999,0.132977962494
fuerza bruta,0,108.935602188
fuerza bruta,45000,438.993935108
fuerza bruta,89999,131.793294191
quick_select,0,0.0861270427704
quick_select,45000,0.137850046158
quick_select,89999,0.0416529178619
order,k,time
sorted_selection,0,0.0351209640503
sorted_selection,47000,0.0343120098114
sorted_selection,93999,0.0344669818878
k_heapsort,0,0.055951833725
k_heapsort,47000,0.363038063049
k_heapsort,93999,0.650110960007
k_selection,0,0.0156419277191
k_selection,47000,659.877392054
k_selection,93999,1109.10853815
heap select,0,0.0335931777954
heap select,47000,0.3112180233
heap select,93999,0.137525081635
fuerza bruta,0,150.844737053
fuerza bruta,47000,284.962843895
fuerza bruta,93999,174.919056177
quick_select,0,0.0899438858032
quick_select,47000,0.153820037842
quick_select,93999,0.0448548793793
order,k,time
sorted_selection,0,0.0377418994904
sorted_selection,50000,0.0379199981689
sorted_selection,99999,0.0374128818512
k_heapsort,0,0.0609920024872
